region_code,sa3_name,sa3_name_lower,gcc_name,state_name,end_year,individuals,total_income,median_taxable_income,average_taxable_income,avg_income_thousand,salary_share_pct,mean_price_thousand,mean_price_value,mean_price_thousand_value,price_to_income,price_to_income_rank_city,area_sq_km
10902,Lower Murray,lower murray,Rest of NSW,New South Wales,2018,5931,262374228.0,38909.0,44230.0,44.23,73.2,874.925,874925.0,874.925,19.781257065340267,1,63967.8828
11002,Inverell - Tenterfield,inverell - tenterfield,Rest of NSW,New South Wales,2018,15454,684859436.0,39968.0,44310.0,44.31,71.8,874.925,874925.0,874.925,19.745542766869782,2,30566.4425
10104,South Coast,south coast,Rest of NSW,New South Wales,2018,31001,1390120376.0,38843.0,44840.0,44.84,67.0,874.925,874925.0,874.925,19.5121543264942,3,9864.4876
10803,Lord Howe Island,lord howe island,Rest of NSW,New South Wales,2018,272,12022954.0,36480.0,44862.0,44.862,75.6,874.925,874925.0,874.925,19.502585707280105,4,16.2918
10801,Great Lakes,great lakes,Rest of NSW,New South Wales,2018,12146,548433238.0,38376.0,45165.0,45.165,68.0,874.925,874925.0,874.925,19.37174803498284,5,3133.0446
10802,Kempsey - Nambucca,kempsey - nambucca,Rest of NSW,New South Wales,2018,18732,849423822.0,39966.0,45346.0,45.346,73.4,874.925,874925.0,874.925,19.294425087108014,6,5339.3246
11202,Richmond Valley - Hinterland,richmond valley - hinterland,Rest of NSW,New South Wales,2018,32259,1495169723.0,42566.0,46358.0,46.358,76.5,874.925,874925.0,874.925,18.873225764700805,7,7390.617
11201,Richmond Valley - Coastal,richmond valley - coastal,Rest of NSW,New South Wales,2018,40678,1905457272.0,37920.0,46848.0,46.848,68.2,874.925,874925.0,874.925,18.67582394125683,8,1572.9178
10805,Taree - Gloucester,taree - gloucester,Rest of NSW,New South Wales,2018,21560,1016349453.0,41563.0,47147.0,47.147,72.7,874.925,874925.0,874.925,18.55738435107218,9,6675.0682
11301,Griffith - Murrumbidgee (West),griffith - murrumbidgee (west),Rest of NSW,New South Wales,2018,26979,1278559290.0,43535.0,47396.0,47.396,79.7,874.925,874925.0,874.925,18.45989113005317,10,28859.6888
