SA3,SA3 NAME,2017-18,2018-19,2019-20,2020-21,2021-22,2017-18,2018-19,2019-20,2020-21,2021-22,2017-18,2018-19,2019-20,2020-21,2021-22,2017-18,2018-19,2019-20,2020-21,2021-22,2017-18,2018-19,2019-20,2020-21,2021-22,2017-18,2018-19,2019-20,2020-21,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10604,Upper Hunter,"15,577","15,881","16,054","16,025","16,458"," 	39 "," 	39 "," 	39 "," 	39 "," 	39 ","1,005,623,625","1,054,937,207","1,094,915,322","1,109,742,661","1,170,120,510","52,317","53,787","54,999","56,955","58,098","64,579","66,432","68,202","69,251","71,097"," 	84.0 "," 	84.4 "," 	84.6 "," 	84.6 "," 	85.1 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10701,Dapto - Port Kembla,"37,045","37,652","38,017","38,681","40,363"," 	39 "," 	39 "," 	39 "," 	39 "," 	39 ","2,158,522,660","2,264,943,872","2,347,379,901","2,444,516,987","2,603,119,536","50,637","52,562","53,978","55,810","56,459","58,271","60,147","61,746","63,197","64,493"," 	83.8 "," 	83.6 "," 	83.5 "," 	84.0 "," 	84.3 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10702,Illawarra Catchment Reserve,np," 	3 "," 	3 ",np,np,np," 	37 "," 	45 ",np,np,np,"407,683","232,519",np,np,np,"109,891","83,340",np,np,np,"101,921","77,506",np,np,np," 	60.0 "," 	80.0 ",np,np,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10703,Kiama - Shellharbour,"46,145","47,439","48,534","50,052","52,027"," 	40 "," 	40 "," 	40 "," 	40 "," 	39 ","2,758,545,950","2,906,713,071","3,076,040,852","3,268,853,624","3,487,245,633","51,110","52,436","54,357","56,369","57,299","59,780","61,269","63,379","65,309","67,028"," 	80.5 "," 	80.6 "," 	80.5 "," 	81.0 "," 	81.2 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10704,Wollongong,"67,570","68,768","69,726","70,491","72,717"," 	39 "," 	39 "," 	39 "," 	39 "," 	38 ","4,324,846,672","4,548,814,447","4,724,838,137","4,965,276,372","5,271,079,806","53,166","54,916","56,384","58,935","60,000","64,005","66,147","67,763","70,438","72,488"," 	80.0 "," 	79.7 "," 	79.8 "," 	79.8 "," 	80.0 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10801,Great Lakes,"12,146","12,363","12,492","13,097","13,626"," 	45 "," 	45 "," 	45 "," 	44 "," 	44 ","548,433,238","571,902,564","603,395,460","662,905,110","697,367,690","38,376","39,753","41,541","42,871","43,764","45,165","46,252","48,303","50,615","51,179"," 	68.0 "," 	68.1 "," 	68.5 "," 	69.9 "," 	70.0 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10802,Kempsey - Nambucca,"18,732","19,162","19,306","20,071","20,970"," 	44 "," 	44 "," 	43 "," 	43 "," 	43 ","849,423,822","879,140,810","921,030,652","990,759,934","1,058,784,885","39,966","40,892","42,601","43,959","44,400","45,346","45,872","47,707","49,363","50,490"," 	73.4 "," 	73.6 "," 	73.6 "," 	74.3 "," 	74.8 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10803,Lord Howe Island," 	272 "," 	276 "," 	278 ",np," 	256 "," 	42 "," 	41 "," 	42 ",np," 	44 ","12,022,954","14,386,013","12,985,214",np,"12,590,618","36,480","45,692","42,006",np,"48,858","44,862","51,379","46,709",np,"49,182"," 	75.6 "," 	74.1 "," 	76.0 ",np," 	74.3 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10804,Port Macquarie,"35,407","36,274","36,816","38,519","40,417"," 	43 "," 	43 "," 	43 "," 	42 "," 	42 ","1,802,249,181","1,895,152,777","1,993,780,688","2,155,196,701","2,321,666,904","43,635","44,970","46,459","48,384","49,205","50,905","52,241","54,155","55,952","57,443"," 	72.1 "," 	72.0 "," 	72.1 "," 	73.3 "," 	74.0 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10805,Taree - Gloucester,"21,560","21,952","22,092","23,028","24,223"," 	44 "," 	44 "," 	44 "," 	43 "," 	43 ","1,016,349,453","1,060,056,173","1,116,464,567","1,202,584,113","1,285,036,391","41,563","43,086","45,000","46,379","47,147","47,147","48,285","50,537","52,223","53,050"," 	72.7 "," 	72.8 "," 	73.1 "," 	73.8 "," 	74.5 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
