region_code,region_name,region_category,year,end_year,individuals,median_age,total_income,median_taxable_income,average_taxable_income,salary_wage_share
10702,Illawarra Catchment Reserve,SA3,2018-19,2019,3,37,407683,109891,101921,60.0
10702,Illawarra Catchment Reserve,SA3,2019-20,2020,3,45,232519,83340,77506,80.0
10702,Illawarra Catchment Reserve,SA3,2020-21,2021,np,np,np,np,np,np
10702,Illawarra Catchment Reserve,SA3,2021-22,2022,np,np,np,np,np,np
10703,Kiama - Shellharbour,SA3,2017-18,2018,46145,40,2758545950,51110,59780,80.5
10703,Kiama - Shellharbour,SA3,2018-19,2019,47439,40,2906713071,52436,61269,80.6
10703,Kiama - Shellharbour,SA3,2019-20,2020,48534,40,3076040852,54357,63379,80.5
10703,Kiama - Shellharbour,SA3,2020-21,2021,50052,40,3268853624,56369,65309,81.0
10703,Kiama - Shellharbour,SA3,2021-22,2022,52027,39,3487245633,57299,67028,81.2
10704,Wollongong,SA3,2017-18,2018,67570,39,4324846672,53166,64005,80.0
10704,Wollongong,SA3,2018-19,2019,68768,39,4548814447,54916,66147,79.7
10704,Wollongong,SA3,2019-20,2020,69726,39,4724838137,56384,67763,79.8
10704,Wollongong,SA3,2020-21,2021,70491,39,4965276372,58935,70438,79.8
10704,Wollongong,SA3,2021-22,2022,72717,38,5271079806,60000,72488,80.0
10801,Great Lakes,SA3,2017-18,2018,12146,45,548433238,38376,45165,68.0
10801,Great Lakes,SA3,2018-19,2019,12363,45,571902564,39753,46252,68.1
10801,Great Lakes,SA3,2019-20,2020,12492,45,603395460,41541,48303,68.5
10801,Great Lakes,SA3,2020-21,2021,13097,44,662905110,42871,50615,69.9
10801,Great Lakes,SA3,2021-22,2022,13626,44,697367690,43764,51179,70.0
10802,Kempsey - Nambucca,SA3,2017-18,2018,18732,44,849423822,39966,45346,73.4
10802,Kempsey - Nambucca,SA3,2018-19,2019,19162,44,879140810,40892,45872,73.6
10802,Kempsey - Nambucca,SA3,2019-20,2020,19306,43,921030652,42601,47707,73.6
10802,Kempsey - Nambucca,SA3,2020-21,2021,20071,43,990759934,43959,49363,74.3
10802,Kempsey - Nambucca,SA3,2021-22,2022,20970,43,1058784885,44400,50490,74.8
10803,Lord Howe Island,SA3,2017-18,2018,272,42,12022954,36480,44862,75.6
10803,Lord Howe Island,SA3,2018-19,2019,276,41,14386013,45692,51379,74.1
10803,Lord Howe Island,SA3,2019-20,2020,278,42,12985214,42006,46709,76.0
10803,Lord Howe Island,SA3,2020-21,2021,np,np,np,np,np,np
10803,Lord Howe Island,SA3,2021-22,2022,256,44,12590618,48858,49182,74.3
10804,Port Macquarie,SA3,2017-18,2018,35407,43,1802249181,43635,50905,72.1
10804,Port Macquarie,SA3,2018-19,2019,36274,43,1895152777,44970,52241,72.0
10804,Port Macquarie,SA3,2019-20,2020,36816,43,1993780688,46459,54155,72.1
10804,Port Macquarie,SA3,2020-21,2021,38519,42,2155196701,48384,55952,73.3
10804,Port Macquarie,SA3,2021-22,2022,40417,42,2321666904,49205,57443,74.0
10805,Taree - Gloucester,SA3,2017-18,2018,21560,44,1016349453,41563,47147,72.7
10805,Taree - Gloucester,SA3,2018-19,2019,21952,44,1060056173,43086,48285,72.8
10805,Taree - Gloucester,SA3,2019-20,2020,22092,44,1116464567,45000,50537,73.1
10805,Taree - Gloucester,SA3,2020-21,2021,23028,43,1202584113,46379,52223,73.8
10805,Taree - Gloucester,SA3,2021-22,2022,24223,43,1285036391,47147,53050,74.5
10901,Albury,SA3,2017-18,2018,31689,40,1656075315,46960,52270,77.7
10901,Albury,SA3,2018-19,2019,32352,40,1745240357,48706,53944,78.3
10901,Albury,SA3,2019-20,2020,32812,40,1837861323,50231,56012,78.3
